OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,longitude,latitude
1,0.11635745319,0.00078230679,Newark Airport,1,EWR,-74.17400027276305,40.691831206401545
2,0.43346966679,0.00486634038,Jamaica Bay,2,Queens,-73.83129854302207,40.616745291659825
3,0.0843411059,0.00031441416,Allerton/Pelham Gardens,3,Bronx,-73.84742223236715,40.864473684775454
4,0.04356652709,0.00011187195,Alphabet City,4,Manhattan,-73.97696825691766,40.7237521415848
5,0.09214648986,0.00049795749,Arden Heights,5,Staten Island,-74.18848410184923,40.552659286945634
6,0.15049054252,0.00060646098,Arrochar/Fort Wadsworth,6,Staten Island,-74.0717705589513,40.60032414603461
7,0.10741717112,0.00038978799,Astoria,7,Queens,-73.9196943194606,40.76149256216373
8,0.02759069116,2.658772e-05,Astoria Park,8,Queens,-73.92308615750753,40.77855865375073
9,0.09978409247,0.0003384438,Auburndale,9,Queens,-73.7879488777789,40.75103502557229
10,0.09983947942,0.00043582382,Baisley Park,10,Queens,-73.79098635986959,40.678953310115254
11,0.07921103896,0.00026452054,Bath Beach,11,Brooklyn,-74.00748815801177,40.604272840030774
12,0.03666130136,4.151162e-05,Battery Park,12,Manhattan,-74.01556351255897,40.7029458349847
13,0.05028132286,0.00014935859,Battery Park City,13,Manhattan,-74.01607915192926,40.71203815707448
14,0.17521369805,0.00138177826,Bay Ridge,14,Brooklyn,-74.02989237418788,40.624834923608205
15,0.14433622262,0.0009252194,Bay Terrace/Fort Totten,15,Queens,-73.78597227877705,40.78333304726096
16,0.14129187377,0.00087188945,Bayside,16,Queens,-73.77342181890134,40.76273837544242
17,0.09352263295,0.00032295765,Bedford,17,Brooklyn,-73.94990503507508,40.69150749488065
18,0.06979954986,0.00014885016,Bedford Park,18,Bronx,-73.89018328872034,40.867682456075414
19,0.10182487545,0.00054666109,Bellerose,19,Queens,-73.72665537528711,40.735486779763384
20,0.05144019244,0.00013451263,Belmont,20,Bronx,-73.88586748106962,40.857779675441584
21,0.11597356906,0.00038025135,Bensonhurst East,21,Brooklyn,-73.98353709672233,40.601429439835165
22,0.1261702292,0.00047206268,Bensonhurst West,22,Brooklyn,-73.99525857986231,40.612218257805615
23,0.29055602896,0.00219556576,Bloomfield/Emerson Hill,23,Staten Island,-74.17088688155255,40.60644770102755
24,0.04699996193,6.072357e-05,Bloomingdale,24,Manhattan,-73.96547951516968,40.80197049389964
25,0.04714581993,0.00012416827,Boerum Hill,25,Brooklyn,-73.98611382213663,40.685633741320636
26,0.12354780707,0.00053403993,Borough Park,26,Brooklyn,-73.98866123078288,40.63094965524548
27,0.20250880852,0.00134088763,Breezy Point/Fort Tilden/Riis Beach,27,Queens,-73.90690832237597,40.55913327946765
28,0.09796078221,0.00029120393,Briarwood/Jamaica Hills,28,Queens,-73.80872901637518,40.71159635794509
29,0.07140831277,0.00020167384,Brighton Beach,29,Brooklyn,-73.96121676866852,40.580921971933805
30,0.09450976698,0.00014586211,Broad Channel,30,Queens,-73.82192695679416,40.60368744213567
31,0.09642456665,0.00033397593,Bronx Park,31,Bronx,-73.87547595053037,40.8577466809159
32,0.05426721601,0.00015087917,Bronxdale,32,Bronx,-73.8649009987672,40.86400220602363
33,0.0532702932,0.0001474168,Brooklyn Heights,33,Brooklyn,-73.99525011996623,40.69579822121126
34,0.06570593235,0.00017394615,Brooklyn Navy Yard,34,Brooklyn,-73.97118869233036,40.70085573851714
35,0.08578791859,0.0003238252,Brownsville,35,Brooklyn,-73.91025783136135,40.664003117925986
36,0.08705078671,0.00024766614,Bushwick North,36,Brooklyn,-73.91771053131579,40.700522199519206
37,0.14281004047,0.00045206264,Bushwick South,37,Brooklyn,-73.92224002165725,40.69499431844212
38,0.08321756852,0.00032739268,Cambria Heights,38,Queens,-73.73555427058822,40.69434146723171
39,0.13236962076,0.00090028294,Canarsie,39,Brooklyn,-73.8997349566939,40.63803713911706
40,0.05185066488,0.00010894921,Carroll Gardens,40,Brooklyn,-73.99595619089148,40.679199014097094
41,0.05279310945,0.00014309304,Central Harlem,41,Manhattan,-73.95129200243511,40.80433394979461
42,0.09270922746,0.00026389695,Central Harlem North,42,Manhattan,-73.94077166756264,40.818257861119235
43,0.09973861836,0.00037966291,Central Park,43,Manhattan,-73.96555356545916,40.78247809974789
44,0.23568896759,0.00194465649,Charleston/Tottenville,44,Staten Island,-74.23353354937652,40.525494581763816
45,0.04590686262,9.135947e-05,Chinatown,45,Manhattan,-73.99815149899047,40.71245931177948
46,0.13447542988,0.00092639168,City Island,46,Bronx,-73.78198714613217,40.84908594313967
47,0.08982755633,0.00016319812,Claremont/Bathgate,47,Bronx,-73.90031590586486,40.842749176098025
48,0.04374674414,9.425384e-05,Clinton East,48,Manhattan,-73.98984464313301,40.762252755319366
49,0.07529001834,0.00020318553,Clinton Hill,49,Brooklyn,-73.9623635381836,40.687967457147465
50,0.05574798675,0.00017324928,Clinton West,50,Manhattan,-73.99513522075517,40.76623772504186
51,0.09536134423,0.00039575655,Co-Op City,51,Bronx,-73.82826367307186,40.87397305492024
52,0.02890767101,4.520275e-05,Cobble Hill,52,Brooklyn,-73.99672403175194,40.68665124165605
53,0.16150091339,0.00094753098,College Point,53,Queens,-73.84281349543204,40.780912355791266
54,0.07621924486,0.00013245213,Columbia Street,54,Brooklyn,-74.00291127745284,40.68720074733727
55,0.14995680752,0.00073627471,Coney Island,55,Brooklyn,-73.98794343407197,40.57696075363783
56,0.05684781267,0.00018090784,Corona,56,Queens,-73.85884524943998,40.74140677482976
56,0.05684781267,0.00018090784,Corona,56,Queens,-73.85358156034266,40.751819366999456
57,0.01927050486,1.802598e-05,Corona,56,Queens,-73.85884524943998,40.74140677482976
57,0.01927050486,1.802598e-05,Corona,56,Queens,-73.85358156034266,40.751819366999456
58,0.05985540949,0.00020498093,Country Club,58,Bronx,-73.82039319252786,40.84145210068253
59,0.03779480709,6.287652e-05,Crotona Park,59,Bronx,-73.89498588493974,40.83855028852789
60,0.07864828782,0.00016183328,Crotona Park East,60,Bronx,-73.88590003419152,40.83399047727385
61,0.1173108081,0.00051077209,Crown Heights North,61,Brooklyn,-73.93928705867957,40.674469418266476
62,0.08225933598,0.00015823817,Crown Heights South,62,Brooklyn,-73.94878853931499,40.66654040578564
63,0.11910072188,0.00035319091,Cypress Hills,63,Brooklyn,-73.87817261050249,40.68383976195103
64,0.18445188474,0.00105790285,Douglaston,64,Queens,-73.73933714992869,40.76061560532155
65,0.04460706837,8.180388e-05,Downtown Brooklyn/MetroTech,65,Brooklyn,-73.98608600498395,40.695337529461135
66,0.05463345936,0.00010837886,DUMBO/Vinegar Hill,66,Brooklyn,-73.98570161582288,40.7022589388225
67,0.09974707816,0.00039428227,Dyker Heights,67,Brooklyn,-74.01380148744008,40.619619467835136
68,0.04933737956,0.00011107338,East Chelsea,68,Manhattan,-73.99991742024712,40.74842755506572
69,0.07898964505,0.0001990516,East Concourse/Concourse Village,69,Bronx,-73.91502929553268,40.831416697085196
70,0.06384031834,0.00019545848,East Elmhurst,70,Queens,-73.86839559842018,40.763352201133145
71,0.09316945518,0.00038257259,East Flatbush/Farragut,71,Brooklyn,-73.93796627061694,40.64428817438921
72,0.09520206952,0.00032353246,East Flatbush/Remsen Village,72,Brooklyn,-73.92225097400495,40.65236480407742
73,0.08530202091,0.00029179975,East Flushing,73,Queens,-73.80729418212229,40.75410888689297
74,0.11029093625,0.00029503842,East Harlem North,74,Manhattan,-73.93734560812497,40.801169480586516
75,0.08766389977,0.00024056393,East Harlem South,75,Manhattan,-73.94575026755157,40.79001075149546
76,0.24120301627,0.00126660143,East New York,76,Brooklyn,-73.87682061127191,40.660935196550525
77,0.07546108144,0.00019191798,East New York/Pennsylvania Avenue,77,Brooklyn,-73.89536411750329,40.66655893903528
78,0.09359444958,0.00019111442,East Tremont,78,Bronx,-73.88552181587427,40.84496041014611
79,0.04262491131,0.00010789307,East Village,79,Manhattan,-73.98593745682462,40.727620195909545
